date,listingid,tokenid,breedcount,gender,bloodline,breedtype,energy,total_races,win,lose,speed,strength,wind,water,fire,lighting,canrace,canbreed,priceFloor,price,lastbreedtime,bornUsableBreed,bornUsableRace,minutesToSell
2022-02-15 23:49:15,181160,133712,2,Female,Hoz,Pacer,1,292,67,225,4.89,0.48,2.56,7.64,7.55,,1,0.0,989.2307692307692,0.7682737169517885,1644900862,-724903.0,-984103.0,2.6333333333333333
2022-02-15 23:47:29,181157,168572,0,Female,Hoz,Pacer,23,50,11,39,1.12,0.73,7.93,2.08,6.42,,1,0.0,989.2307692307692,1.1898133748055988,0,53307.0,-205893.0,1.3666666666666667
2022-02-15 23:46:16,181151,159685,2,Male,Hoz,Pacer,1,132,29,103,7.65,7.01,1.92,1.77,1.8,,1,0.0,989.2307692307692,0.9087869362363918,1644966531,-143581.0,-402781.0,1.6666666666666667
2022-02-15 23:45:19,181147,72244,3,Male,Hoz,Pacer,1,747,178,569,3.2,4.6,1.49,2.07,5.61,,1,1.0,989.2307692307692,0.7682737169517885,1643091577,-2329004.0,-2588204.0,1.3666666666666667
2022-02-15 23:50:24,181141,88107,3,Male,Hoz,Pacer,9,582,168,414,0.83,4.08,5.92,1.73,3.09,,1,1.0,989.2307692307692,0.9805598755832036,1643357197,-1801765.0,-2060965.0,6.666666666666667
2022-02-15 23:45:13,181138,125758,2,Female,Hoz,Pacer,2,340,119,221,8.65,3.58,6.79,8.88,8.34,,1,1.0,989.2307692307692,1.1119751166407466,1644616236,-897184.0,-1156384.0,1.9666666666666663
2022-02-15 23:44:13,181137,50425,2,Female,Campona,Pacer,1,984,246,738,1.58,0.45,6.72,5.0,1.22,,1,1.0,989.2307692307692,0.7733281493001555,1642156333,-3328071.0,-3500871.0,1.0666666666666669
2022-02-15 23:49:14,181135,90742,3,Male,Hoz,Pacer,0,538,124,414,4.91,0.87,8.59,7.89,7.05,,1,1.0,989.2307692307692,0.7743390357698289,1643461458,-1723908.0,-1983108.0,6.9
2022-02-15 23:51:31,181127,171522,0,Male,Hoz,Pacer,0,52,11,41,1.91,1.27,8.64,0.83,7.92,,1,0.0,989.2307692307692,1.5102643856920683,0,121443.0,-137757.0,11.666666666666666
2022-02-15 23:37:45,181123,144222,2,Female,Hoz,Pacer,10,217,44,173,7.16,1.0,7.52,1.48,0.11,,1,1.0,989.2307692307692,0.7076205287713841,1644803284,-490402.0,-749602.0,0.0
2022-02-15 23:51:30,181122,90315,3,Female,Hoz,Pacer,0,574,129,445,2.42,3.61,6.49,2.83,4.35,,1,1.0,989.2307692307692,0.7783825816485225,1643418317,-1738940.0,-1998140.0,12.2
2022-02-15 23:37:46,181117,160045,0,Male,Zan,Pacer,12,43,9,34,4.63,5.74,4.87,3.92,0.07,,1,1.0,989.2307692307692,1.1321928460342146,0,-136512.0,-136512.0,1.4
2022-02-15 23:44:15,181115,60833,3,Male,Zan,Pacer,4,791,177,614,6.12,3.07,0.53,2.78,1.97,,1,0.0,989.2307692307692,0.7733281493001555,1644967049,-2770281.0,-2770281.0,7.666666666666667
2022-02-15 23:38:45,181114,119535,2,Female,Hoz,Pacer,5,363,84,279,4.67,0.2,1.98,6.45,4.79,,1,1.0,989.2307692307692,0.7864696734059098,1644050786,-1026945.0,-1286145.0,3.1333333333333333
2022-02-15 23:37:43,181103,141642,3,Female,Hoz,Pacer,2,190,43,147,3.22,2.82,4.2,8.05,8.02,,1,0.0,989.2307692307692,0.8076982892690513,1644967617,-549423.0,-808623.0,5.566666666666666
2022-02-15 23:46:15,181102,186925,0,Female,Hoz,Pacer,25,0,0,0,3.09,1.92,2.17,2.7,2.17,,0,0.0,989.2307692307692,1.2009331259720062,0,333642.0,74442.0,14.4
2022-02-16 00:03:17,181192,137983,2,Male,Hoz,Pacer,1,269,72,197,6.14,3.96,3.33,7.59,8.45,,1,1.0,996.8461538461538,0.8526892507137896,1644616236,-637549.0,-896749.0,3.2666666666666666
